image_path,mask_path,class,label
benign/image/synthetic_benign_001.png,benign/mask/synthetic_benign_001_mask.png,benign,0
benign/image/synthetic_benign_002.png,benign/mask/synthetic_benign_002_mask.png,benign,0
benign/image/synthetic_benign_003.png,benign/mask/synthetic_benign_003_mask.png,benign,0
benign/image/synthetic_benign_004.png,benign/mask/synthetic_benign_004_mask.png,benign,0
benign/image/synthetic_benign_005.png,benign/mask/synthetic_benign_005_mask.png,benign,0
benign/image/synthetic_benign_006.png,benign/mask/synthetic_benign_006_mask.png,benign,0
benign/image/synthetic_benign_007.png,benign/mask/synthetic_benign_007_mask.png,benign,0
benign/image/synthetic_benign_008.png,benign/mask/synthetic_benign_008_mask.png,benign,0
benign/image/synthetic_benign_009.png,benign/mask/synthetic_benign_009_mask.png,benign,0
benign/image/synthetic_benign_010.png,benign/mask/synthetic_benign_010_mask.png,benign,0
benign/image/synthetic_benign_011.png,benign/mask/synthetic_benign_011_mask.png,benign,0
benign/image/synthetic_benign_012.png,benign/mask/synthetic_benign_012_mask.png,benign,0
benign/image/synthetic_benign_013.png,benign/mask/synthetic_benign_013_mask.png,benign,0
benign/image/synthetic_benign_014.png,benign/mask/synthetic_benign_014_mask.png,benign,0
benign/image/synthetic_benign_015.png,benign/mask/synthetic_benign_015_mask.png,benign,0
benign/image/synthetic_benign_016.png,benign/mask/synthetic_benign_016_mask.png,benign,0
benign/image/synthetic_benign_017.png,benign/mask/synthetic_benign_017_mask.png,benign,0
benign/image/synthetic_benign_018.png,benign/mask/synthetic_benign_018_mask.png,benign,0
benign/image/synthetic_benign_019.png,benign/mask/synthetic_benign_019_mask.png,benign,0
benign/image/synthetic_benign_020.png,benign/mask/synthetic_benign_020_mask.png,benign,0
benign/image/synthetic_benign_021.png,benign/mask/synthetic_benign_021_mask.png,benign,0
benign/image/synthetic_benign_022.png,benign/mask/synthetic_benign_022_mask.png,benign,0
benign/image/synthetic_benign_023.png,benign/mask/synthetic_benign_023_mask.png,benign,0
benign/image/synthetic_benign_024.png,benign/mask/synthetic_benign_024_mask.png,benign,0
benign/image/synthetic_benign_025.png,benign/mask/synthetic_benign_025_mask.png,benign,0
benign/image/synthetic_benign_026.png,benign/mask/synthetic_benign_026_mask.png,benign,0
benign/image/synthetic_benign_027.png,benign/mask/synthetic_benign_027_mask.png,benign,0
benign/image/synthetic_benign_028.png,benign/mask/synthetic_benign_028_mask.png,benign,0
benign/image/synthetic_benign_029.png,benign/mask/synthetic_benign_029_mask.png,benign,0
benign/image/synthetic_benign_030.png,benign/mask/synthetic_benign_030_mask.png,benign,0
benign/image/synthetic_benign_031.png,benign/mask/synthetic_benign_031_mask.png,benign,0
benign/image/synthetic_benign_032.png,benign/mask/synthetic_benign_032_mask.png,benign,0
benign/image/synthetic_benign_033.png,benign/mask/synthetic_benign_033_mask.png,benign,0
benign/image/synthetic_benign_034.png,benign/mask/synthetic_benign_034_mask.png,benign,0
benign/image/synthetic_benign_035.png,benign/mask/synthetic_benign_035_mask.png,benign,0
benign/image/synthetic_benign_036.png,benign/mask/synthetic_benign_036_mask.png,benign,0
benign/image/synthetic_benign_037.png,benign/mask/synthetic_benign_037_mask.png,benign,0
benign/image/synthetic_benign_038.png,benign/mask/synthetic_benign_038_mask.png,benign,0
benign/image/synthetic_benign_039.png,benign/mask/synthetic_benign_039_mask.png,benign,0
benign/image/synthetic_benign_040.png,benign/mask/synthetic_benign_040_mask.png,benign,0
benign/image/synthetic_benign_041.png,benign/mask/synthetic_benign_041_mask.png,benign,0
benign/image/synthetic_benign_042.png,benign/mask/synthetic_benign_042_mask.png,benign,0
benign/image/synthetic_benign_043.png,benign/mask/synthetic_benign_043_mask.png,benign,0
benign/image/synthetic_benign_044.png,benign/mask/synthetic_benign_044_mask.png,benign,0
benign/image/synthetic_benign_045.png,benign/mask/synthetic_benign_045_mask.png,benign,0
benign/image/synthetic_benign_046.png,benign/mask/synthetic_benign_046_mask.png,benign,0
benign/image/synthetic_benign_047.png,benign/mask/synthetic_benign_047_mask.png,benign,0
benign/image/synthetic_benign_048.png,benign/mask/synthetic_benign_048_mask.png,benign,0
benign/image/synthetic_benign_049.png,benign/mask/synthetic_benign_049_mask.png,benign,0
benign/image/synthetic_benign_050.png,benign/mask/synthetic_benign_050_mask.png,benign,0
benign/image/synthetic_benign_051.png,benign/mask/synthetic_benign_051_mask.png,benign,0
benign/image/synthetic_benign_052.png,benign/mask/synthetic_benign_052_mask.png,benign,0
benign/image/synthetic_benign_053.png,benign/mask/synthetic_benign_053_mask.png,benign,0
